datetime,time_min,us_station_obs,ds_station_obs
           2020-09-27 16:24:00,2780,2.668049249,2.063231188
           2020-09-27 16:34:00,2790,2.69,2.04
           2020-09-27 16:44:00,2800,2.714968986,2.005347659
           2020-09-27 16:54:00,2810,2.739565293,1.975596086
           2020-09-27 17:04:00,2820,2.76,1.97
           2020-09-27 17:14:00,2830,2.77439362,1.999640347
           2020-09-27 17:24:00,2840,2.788504395,2.042902985
           2020-09-27 17:34:00,2850,2.81,2.07
           2020-09-27 17:44:00,2860,2.843752831,2.060165028
           2020-09-27 17:54:00,2870,2.883454166,2.0287179
           2020-09-27 18:04:00,2880,2.92,2
           2020-09-27 18:14:00,2890,2.947261722,1.992292135
           2020-09-27 18:24:00,2900,2.971012276,1.999632821
           2020-09-27 18:34:00,2910,3,2.01
           2020-09-27 18:44:00,2920,3.039792875,2.014740507
           2020-09-27 18:54:00,2930,3.08323747,2.018676742
           2020-09-27 19:04:00,2940,3.12,2.03
           2020-09-27 19:14:00,2950,3.142826037,2.052819912
           2020-09-27 19:24:00,2960,3.156778583,2.074919469
           2020-09-27 19:34:00,2970,3.17,2.08
           2020-09-27 19:44:00,2980,3.188902977,2.058794658
           2020-09-27 19:54:00,2990,3.212981529,2.030163899
           2020-09-27 20:04:00,3000,3.24,2.02
           2020-09-27 20:14:00,3010,3.26748798,2.046445898
           2020-09-27 20:24:00,3020,3.29203604,2.096647158
           2020-09-27 20:34:00,3030,3.31,2.15
           2020-09-27 20:44:00,3040,3.319663623,2.188384712
           2020-09-27 20:54:00,3050,3.327022458,2.203617841
           2020-09-27 21:04:00,3060,3.34,2.19
           2020-09-27 21:14:00,3070,3.363487159,2.148904143
           2020-09-27 21:24:00,3080,3.3902445,2.109992589
           2020-09-27 21:34:00,3090,3.41,2.11
           2020-09-27 21:44:00,3100,3.41601737,2.171183902
           2020-09-27 21:54:00,3110,3.415703247,2.257893284
           2020-09-27 22:04:00,3120,3.42,2.32
           2020-09-27 22:14:00,3130,3.436517434,2.323026915
           2020-09-27 22:24:00,3140,3.459535103,2.29510094
           2020-09-27 22:34:00,3150,3.48,2.28
           2020-09-27 22:44:00,3160,3.491616599,2.310041772
           2020-09-27 22:54:00,3170,3.499119303,2.371702955
           2020-09-27 23:04:00,3180,3.51,2.44
           2020-09-27 23:14:00,3190,3.529608764,2.494583774
           2020-09-27 23:24:00,3200,3.554728424,2.533642797
           2020-09-27 23:34:00,3210,3.58,2.56
           2020-09-27 23:44:00,3220,3.601429828,2.577919427
           2020-09-27 23:54:00,3230,3.620485519,2.597429561
           2020-09-28 00:04:00,3240,3.64,2.63
           2020-09-28 00:14:00,3250,3.661708961,2.681145927
           2020-09-28 00:24:00,3260,3.682959131,2.732564883
           2020-09-28 00:34:00,3270,3.7,2.76
           2020-09-28 00:44:00,3280,3.710623217,2.748978348
           2020-09-28 00:54:00,3290,3.718789068,2.724162757
           2020-09-28 01:04:00,3300,3.73,2.72
           2020-09-28 01:14:00,3310,3.748761136,2.759607349
           2020-09-28 01:24:00,3320,3.775588301,2.820784088
           2020-09-28 01:34:00,3330,3.81,2.87
           2020-09-28 01:44:00,3340,3.850258167,2.883703367
           2020-09-28 01:54:00,3350,3.889598467,2.878256448
           2020-09-28 02:04:00,3360,3.92,2.88
           2020-09-28 02:14:00,3370,3.936872864,2.906690295
           2020-09-28 02:24:00,3380,3.949351162,2.941745675
           2020-09-28 02:34:00,3390,3.97,2.96
           2020-09-28 02:44:00,3400,4.007805933,2.945091009
           2020-09-28 02:54:00,3410,4.057441328,2.915871962
           2020-09-28 03:04:00,3420,4.11,2.9
           2020-09-28 03:14:00,3430,4.158199699,2.917390115
           2020-09-28 03:24:00,3440,4.201253898,2.956988701
           2020-09-28 03:34:00,3450,4.24,3
           2020-09-28 03:44:00,3460,4.276061937,3.033496678
           2020-09-28 03:54:00,3470,4.314209748,3.068025087
           2020-09-28 04:04:00,3480,4.36,3.12
           2020-09-28 04:14:00,3490,4.417182184,3.19751206
           2020-09-28 04:24:00,3500,4.482277482,3.275355395
           2020-09-28 04:34:00,3510,4.55,3.32
           2020-09-28 04:44:00,3520,4.615950069,3.310158784
           2020-09-28 04:54:00,3530,4.679272918,3.273516297
           2020-09-28 05:04:00,3540,4.74,3.25
           2020-09-28 05:14:00,3550,4.797906427,3.269630582
           2020-09-28 05:24:00,3560,4.851741956,3.32280164
           2020-09-28 05:34:00,3570,4.9,3.39
           2020-09-28 05:44:00,3580,4.942424221,3.454281852
           2020-09-28 05:54:00,3590,4.983759259,3.508980847
           2020-09-28 06:04:00,3600,5.03,3.55
           2020-09-28 06:14:00,3610,5.084618911,3.575093861
           2020-09-28 06:24:00,3620,5.140998786,3.589423119
           2020-09-28 06:34:00,3630,5.19,3.6
           2020-09-28 06:44:00,3640,5.225396431,3.612379743
           2020-09-28 06:54:00,3650,5.252615967,3.62628964
           2020-09-28 07:04:00,3660,5.28,3.64
           2020-09-28 07:14:00,3670,5.312684255,3.652794576
           2020-09-28 07:24:00,3680,5.34298179,3.668010913
           2020-09-28 07:34:00,3690,5.36,3.69
           2020-09-28 07:44:00,3700,5.356088773,3.720516026
           2020-09-28 07:54:00,3710,5.336567983,3.750925967
           2020-09-28 08:04:00,3720,5.31,3.77
           2020-09-28 08:14:00,3730,5.284071765,3.771067247
           2020-09-28 08:24:00,3740,5.2629685,3.765692626
           2020-09-28 08:34:00,3750,5.25,3.77
           2020-09-28 08:44:00,3760,5.246883428,3.795936837
           2020-09-28 08:54:00,3770,5.248965425,3.838745011
           2020-09-28 09:04:00,3780,5.25,3.88949
           2020-09-28 09:14:00,3790,5.24432045,3.939237257
           2020-09-28 09:24:00,3800,5.228577209,3.979052144
           2020-09-28 09:34:00,3810,5.2,4
           2020-09-28 09:44:00,3820,5.157686626,3.996098211
           2020-09-28 09:54:00,3830,5.10820722,3.97317234
           2020-09-28 10:04:00,3840,5.06,3.94
           2020-09-28 10:14:00,3850,5.020118234,3.904366938
           2020-09-28 10:24:00,3860,4.990075393,3.870091458
